"person_id","first_name","last_name","height","weight"
"10222","Thomas","Csebits","192",NULL
"10224","Davor","Lamesic","205",NULL
"10228","Erwin","Zulic","190",NULL
"10231","Tilo","Klette","206",NULL
"10278","Damir","Zeleznik","191",NULL
"10280","Romed","Vieider","196",NULL
"12371","Hannes","Artner","184",NULL
"12372","Terence","Aryee",NULL,NULL
"12373","Christoph","Astl","185",NULL
"12374","Johannes","Astl","196",NULL
"12376","Stephan","Balga","194",NULL
"12377","Andreas","Bauch","191",NULL
"12380","Curtis","Bobb","198",NULL
"12382","Ian","Boylan","198",NULL
"12395","Benedikt","Danek","176",NULL
"12398","Michael","Diesner","193",NULL
"12405","Georg","Florian","190",NULL
"12408","Daniel","Friedrich","180",NULL
"12410","Erik","Frühwirth","205",NULL
"12416","Tomislav","Gaspar","198",NULL
"12417","David","Geisler","186",NULL
"12421","Christoph","Greimeister","208",NULL
"12429","Corey","Hallett","210",NULL
"12434","David","Hasenburger","207",NULL
"12437","Alexander","Heuberger","200",NULL
"12439","Philipp","Horvath","175",NULL
"12443","David","Jandl","180",NULL
"12444","Manuel","Jandrasits","183",NULL
"12446","Jason","Johnson","201",NULL
"12455","Mathias","Klepeisz","187",NULL
"12456","Thomas","Klepeisz","195",NULL
"12462","Bernhard","Koch","190",NULL
"12463","Sebastian","Koch","200",NULL
"12468","Marko","Kracun","202",NULL
"12469","Filip","Krämer","199",NULL
"12474","Heinz","Kügerl","212",NULL
"12476","Andreas","Kuttnig","190",NULL
"12480","Moritz","Lanegger","190",NULL
"12481","Reinhard","Lanegger","195",NULL
"12484","Steffen","Leitgeb","190",NULL
"12488","Lukas","Linzer","192",NULL
"12490","Benjamin","Mair","187",NULL
"12495","Matthias","Mayer","204",NULL
"12508","Enis","Murati","194",NULL
"12510","Christoph","Nagler","195",NULL
"12516","Albert","Ngoy","178",NULL
"12519","Lorenzo","O'Neal","185",NULL
"12523","Hannes","Ochsenhofer","186",NULL
"12534","Markus","Pinezich","187",NULL
"12535","Lukas","Pinterits","193",NULL
"12537","Richard","Poiger","202",NULL
"12543","Matthew","Rachar","201",NULL
"12544","Paul","Radakovics","191",NULL
"12546","Shawn L.","Ray","194",NULL
"12551","Lukas","Sallomon","191",NULL
"12553","Sebastian","Schaal","186",NULL
"12557","Florian","Schöninger","186",NULL
"12567","Martin","Speiser","202",NULL
"12570","Tobias","Stadelmann","180",NULL
"12572","Milan","Stegnjaic","202",NULL
"12580","Ramiz","Suljanovic","205",NULL
"12583","Wolfgang","Träger","200",NULL
"12587","Fabricio David","Vay","201",NULL
"12591","Bernhard","Weber","201",NULL
"12595","Andreas","Worenz","198",NULL
"12596","Armin","Woschank","184",NULL
"17416","Pranas","Skurdauskas","208",NULL
"17427","Marcus","Heard","201",NULL
"17431","Kevin","Payton","196",NULL
"18276","Markus","Galle","196",NULL
"18291","Sebastian","Gmeiner","189",NULL
"18294","Maximilian","Graf","194",NULL
"18300","Samo","Grum","194",NULL
"18354","Martin","Kohlmaier","217",NULL
"18440","Sebastian","Pinterits","188",NULL
"18493","Anthony","Shavies","187",NULL
"18512","Stjepan","Stazic","198",NULL
"18535","Stefan","Ulreich","182",NULL
"18542","Joey","Vickery","178",NULL
"18615","Jason","Detrick",NULL,NULL
"18666","Dragan","Miletic","195",NULL
"18737","Jason Robert","Chappell","208",NULL
"18861","Carlos","Novas Mateo","198",NULL
"19060","Erwin","Mach","187",NULL
"19062","Harald","Gschiel","184",NULL
"19066","Michael","Mach","190",NULL
"19076","Jozo","Rados","205",NULL
"19668","Nikolaus","Müller-Mezin","190",NULL
"46034","Igor","Prosev","185",NULL
"109515","Aleksandar","Djuric","210",NULL
"109517","Joe Dean","Shaw II","199",NULL
"109520","Demetrius","Nelson","202",NULL
"109529","Florian","Trmal","193",NULL
"111408","Luka","Gvozden","180",NULL
"111411","Paul","Eder","198",NULL
"111414","Claudio","Vancura","178",NULL
"111418","Philipp","Aigner","176",NULL
"111434","Florian","Trappl","183",NULL
"115319","Fabian","Richter","180",NULL
"118042","Stefan","Neudecker","191",NULL
"118043","Georg","Wolf","185",NULL
"118103","Stefan","Cvetinovic","192",NULL
"118107","Radosav","Spasojevic",NULL,NULL
"118248","Jurica","Blazevic","199",NULL
"182993","Benedikt","Güttl","180",NULL
"183123","Lukas","Pohn","193",NULL
"1113093","Elmir","Brkic","201",NULL
"1113113","Florian","Duck","183",NULL
"1113173","Alexander","Oswald",NULL,NULL
"1113193","Gary","Ware","205",NULL
"1113203","Emir","Begovic","197",NULL
"1122903","Toni","Blazan","197",NULL
"1122923","David","Heuberger","195",NULL
"1123023","Elvis","Kadic","200",NULL
"1123033","Thomas","Knor","193",NULL
"1141903","Marko","Soldo","193",NULL
"1141933","Jakob","Pöltl","212",NULL
"1141963","Marcus","Weidner","185",NULL
"1172053","Florian","Pelc","173",NULL
"1266323","Michael","Badr","185",NULL
"1273733","Daniel","Gaberle","193",NULL
"1674213","Thomas","Pamminger","185",NULL
"1695243","Sebastian","Käferle",NULL,NULL
"1695333","Armin","Dugum",NULL,NULL
"1695443","Philip Sebastian","Knotzinger",NULL,NULL
"1695453","Makarije","Kovacevic",NULL,NULL
"2703683","Philipp","Jungwirth","180",NULL
"2705073","Laurence","Müller","180",NULL
"3651923","Armin","Domitner","201",NULL
"3792523","Marin","Sliskovic","198",NULL
"3795273","Devran","Kocamis","190",NULL
"3820073","Djordje","Djordjevic","195",NULL
"3823533","Christof","Miriuca","185",NULL
"3824093","Hermann","Opoku","206",NULL
"3824103","Ian","Moschik","200",NULL
"3824113","Mark","Sanchez","201",NULL
"3826333","Luka","Gaspar","197",NULL
"3866083","Eric","Gilchrese","182",NULL
"4276223","Lukas","Keszleri","190",NULL
"4585763","Jakob","Sauer","183",NULL
"4673637","Benjamin","Blazevic","204",NULL
"4693001","Gabriel","Lehner",NULL,NULL
"4695761","Janou","Rubin","193",NULL
"4837315","Kwadzo","Ahelegbe","188",NULL
"4837321","Kelly","Beidler","199",NULL
"4837325","Skyler","Bowlin","190",NULL
"4837329","Tremaine","Ford","207",NULL
"4837337","Bernhard","Oliva","180",NULL
"4837365","Samuel","Zeglinski","185",NULL
"4840097","Nikola","Pavlicevic","192","80"
"4840099","Arnas","Labuckas","205","100"
"4840101","Predrag","Miletic","193","90"
"4840103","Marko","Kolaric","213","110"
"4840105","Nenad","Sulovic","204","110"
"4840107","Lennart","Burgemeister","193","82"
"4843999","Ibrahim","Alisic","197",NULL
"4844071","Petras","Balocka","202",NULL
"4844073","Darryl","Bryant","187",NULL
"4844075","Adnan","Hajder","196",NULL
"4844077","Jamie","Kohn","196",NULL
"4844079","Matthias","Neuherz","182",NULL
"4844085","Tyler","Griffey","204","103"
"4844087","Jonathan","Lee","188","93"
"4844089","Matthias","Linortner","195","85"
"4844091","Adrian","Mitchell","189","72"
"4844093","Lukas","Schartmüller","191","70"
"4844095","George","Valentine II","203","107"
"4844097","Ricardo","Dias Bodra","202","110"
"4844099","Jakob","Ernst","188","80"
"4844101","Alexander","Omischl","183","75"
"4844103","Travis","Taylor","203","100"
"4844151","David","Krämer","190","83"
"4844153","Zoran","Krstanovic","205","103"
"4844155","Max","Neugebauer","203","92"
"4844157","Jeffrey","Bonds","200","96"
"4844159","John","Lodwick","201","94"
"4844161","Robert","Abramovic","186",NULL
"4844163","Andrew","Van Nest","209",NULL
"4844165","Dimitar","Dimitrov","203",NULL
"4844167","Milos","Pajovic","205",NULL
"4844169","Florian","Vogel","192",NULL
"4847353","Frederick","Nixon","186",NULL
"4847355","Ike","Udanoh","201",NULL
"4847357","Amin","Stevens","200",NULL
"4847385","Emanuel","Pasquale","190",NULL
"4854095","Dietrich James","Richardson","191",NULL
"4854715","Philipp","D´Angelo","198",NULL
"4854717","Oscar","Schmit","188",NULL
"4854719","Benjamin","Bernleithner","186",NULL
"4854721","Marvin","Ogunsipe","202",NULL
"4854723","Daniel","Stawowski","205",NULL
"4854725","Vincent","Polakovic",NULL,NULL
"4854727","Renato","Poljak","198",NULL
"4854729","Jakub","Krssak","192",NULL
"4854731","Stefan","Aigner","184",NULL
"4857831","Clemens","Leydolf",NULL,NULL
"4859703","Deshawn","Painter","206",NULL
"4864171","Brendon","Monteiro","195",NULL
"4865979","Lukas","Jandl",NULL,NULL
"4872669","Amel","Harambasic",NULL,NULL
"4873531","Nolan","Richardson IV","188",NULL
"4874745","Jeron Curtis","Belin","196",NULL
"4875283","Drazen","Zlovaric","208",NULL
"4875285","Petar","Milicevic",NULL,NULL
"4880717","Nicholas","Wright","203",NULL
"4880735","Andre","Marhold","198",NULL
"4880791","Brett","Thompson","211",NULL
"4887863","Jan","Nicoli",NULL,NULL
"4887865","Marco","Jaitz",NULL,NULL
"4887867","Christian","Gorsche",NULL,NULL
